id,texte,sentiment
1,Sooo SAD I will miss you here in San Diego!!!,0
2,my boss is bullying me...,0
3,I`m a good girl...ALL work is done,1
4,"Sons of ****, why couldn`t they put them on the releases we already bought",0
5,2am feedings for the baby are fun when he is all smiles and coos,1
6,Journey!? Wow... u just became cooler.  hehe... (is that possible!?),1
7,"yeah the freedom is awesome, it`s great being a little more independent",1
8,My Sharpie is running DANGERously low on ink,0
9,i want to go to music tonight but i lost my voice.,0
10,Im home where i am about 2 drink alone.,0
11,"S`ok, trying to plot alternatives as we speak *sigh*",0
12,"Actually a great start to the day, hope it continues  getting my new american oversized bed in the evening!",1
13,is back home now      gonna miss every one,0
14,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,1
15,"the free fillin` app on my ipod is fun, im addicted",1
16,I`m sorry.,0
17,On the way to Malaysia...no internet access to Twit,0
18,"trying to do a blend. i know, i suck at them but there`s no harm in trying.",0
19,ERRG I cant believe that i am not working at all next week i think its time to move on from Chick fil A,0
20,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,1
21,"awww thanks Jon! My 9yr old told me I was to sleep in, while they all clean the house.. best mom`s day present ever!",1
22,If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,0
23,That`s very funny.  Cute kids.,1
24,Miss you in that 70s show!!!!!!,0
25,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,0
26,Its so dead,0
27,im an avid fan of **** magazine and i love your magazines,1
28,ITO EN Tea Apple IS DELICIOUS!!!!!!!!!! (looks like I need to go to Don Quihote to buy more!!) goodnight,1
29,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,0
30,- i sure hope so  it was worth it for me too  loveu.,1
31,which case? I got a new one last week and I`m not thrilled at all with mine.,0
32,it is ****...u have dissappointed me that past few days,0
33,romance zero is funny,1
34,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,0
35,Aw. Torn ace of hearts  #Hunchback,0
36,I cut my thumb on a broken coffee pot.,0
37,I give in to easily,0
38,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,1
39,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,0
40,He`s awesome... Have you worked with him before? He`s a good friend.,1
41,At hospital.. Uncle is in surgury after heart attack,0
42,a celtics-lakers rematch sounds better don`t you think? lol,1
43,"Now that I have a salary, I can actually spend money. Hooray! Time to go shopping and have dinner at Ahora to say goodbye to .",1
44,"Oh same here, can`t believe they killed him off!  Hate Stringer now!",0
45,"Well I hope you have had a good weekend and even more so have a good day at work 2moro its already monday here,so far so good",1
46,lucky kid...i so wanna see loserville  pity im in oz....,1
47,I`m slowly reallizing how this burn I got at work 5 hours ago really sucks,0
48,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",0
49,Happy Star Wars day everyone! and Enjoy the holiday (UK),1
50,"EVIL CREDIT CARD COMPANIES!!  God, and just when I was starting to *build* my credit again - I get this stupid `ding` from them!",0
51,Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,1
52,SWEEEEET - San Fran is awesome!!!!  Love it there,1
53,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,0
54,Touch My Hand video = simply amazing.  Love it.,1
55,"CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",0
56,hemp cloth is marvelous but unfortunately no,0
57,Creating your business in The US from France looks quiet easy,1
58,4am. And Im on the beach. Pretty,1
59,"Milk, Gran Torino, Bolt, Bride Wars, New In Town (yeah I got through a few...) **** I love longhaul",1
60,i realy wanted to go out cause its so nice but everybodys busy,0
61,Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,1
62,haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,1
63,The moon is sooooo pretty,1
64,"woof, I wish I was allowed to go",1
65,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",1
66,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",1
67,So many tests todayyy  I don`t feel confident about anyy.,0
68,may the 4th be with you! HAPPY STAR WARS DAY!,1
69,hahaa your awesomee !,1
70,holy smokes! star trek was freaking awesomeeeee,1
71,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",0
72,wishes he could be with that special someone....,1
73,Going to bed. Goodnight!  x,1
74,Not a prob hun,1
75,hey mia!  totally adore your music.  when will your cd be out?,1
76,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",1
77,"Oh, ouch. That hurt.  **** washing machine is out to get me!  <.<    >.>",0
78,Greenville Drive games just aren`t the same without the 'Baseball Guy' clown.,0
79,why are you sad?,0
80,http://twitpic.com/4jb66 - lol pretty long,1
81,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,1
82,"missed all the awesome weather, because she was in a movie!",0
83,i`m gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don`t have access to the interwebz,1
84,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",0
85,"has the urge to go shopping.hmmm but i`ve got no money,how?",0
86,doing Accounting homework  Just nicely got a 50p for the project <3,1
87,FML i just spilled my entire can of diet coke IN MY LAP. yay,0
88,Candle wax is very enjoyable.,1
89,"She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",1
90,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,1
91,"trying to record my audio source, maybe I need a specific program  I`m good thank you  hehe",1
92,fine! Going to do my big walk today 20 or so miles,1
93,Just rang the irish one. Drunk. Must confiscate phone.  hate him lots.,0
94,Bugger. forgot I still have washing in my machine,0
95,"_Laurie sending love, blessings & healing thoughts to you & family  peace",1
96,My back hurts...really bad,0
97,": Your mail server just rejected a simple, plain reply to you as potential spam/virus threat. Not Good",0
98,Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,0
99,#lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,1
100,Few Bevvies 2day in twn..great on a day off!!,1
101,Going to sleep now goodnight!  xoxo,1
102,good morning,1
103,its the best show EVER!,1
104,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,0
105,"MARRRRRRRRRRY ME! <3 have fun partying tonight, have a drink for me, if only i was 18 i wud come there just to see you!",1
106,I miss my neice  can`t wait to see her bad n grown ****! Lol,0
107,Hi SweetiePie!! It`s Friday night and I`m .... missing my sidekick & his slippers.  It`s just not Friday night w/o him.,0
108,who watched X-men origins: wolverine? i totally loved it! haha,1
109,"I loves me some Jeff Lynne, and I do enjoy sitar work, but that was kinda weird. To each his own, I s`pose!",1
110,I`m sad that I missed you guys last night!,0
111,missing jmichelle... told you treat me like a step child! smh,0
112,just wanted to say that I <3 ur music(both the scene aesthetic n Danger Radio) Hopefully i will get to see u guys 1 day,1
113,happy 1 year! <3,1
114,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",1
115,WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,0
116,I`m starving!! This diet is killing me but I can`t eat after 8pm,0
117,im soo bored...im deffo missing my music channels,0
118,Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.,1
119,should be sleeping.  lost my voice a couple day ago.,0
120,http://twitpic.com/66xlm -  hate when my PARKED car gets hit,0
121,i hope you knew its due tuesday,1
122,going to bed its late and I have headache,0
123,happy mother`s day to all moms out there...,1
124,im thinking that im going to have fun tonight....and maybe some changes are coming,1
125,"Haha I know, I cant handle the fame!  and thank you!",1
126,**** you ipod for freezing when i need you most,0
127,I cant stand summer fever (for me) and when the weather gets really humid  lol,0
128,Feeling smooth like chrome,1
129,"Morning all. First tea of the day, and just about to record the voiceover for a documentary about modern Druidry. Good times",1
130,Walking to class. I hate not having a bike....especially mine.,0
131,"****, I paid like $16 my first Slightly Stoopid show and now they charge $47 a pop   makes me sad...",0
132,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",1
133,"Hey, TDukes! I flwd U immediately this morn.when DHmptn mentioned the bit abt the tattoo. LOVE her,she`s my #1Fav. twitterer",1
134,I have one less follower  That makes me sad and I feel like my life is dull and uninteresting.,0
135,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,1
136,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",1
137,"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",1
138,Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,1
139,"_ritz alrighty, thnx  good night.",1
140,that`s why I need to be there...To represent the Blackberries,1
141,"yeah I was thinking about that ,ahaha",1
142,I`m not sleeping at all until  accepts my appology,0
143,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",0
144,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,1
145,Happy mom`s day to you too,1
146,have been to portugal. and spain. and has a sore throat. scary?,0
147,Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,0
148,writing report cards  soooo tired but what an amazing day. check it out on fb soon!,1
149,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",1
150,"yea, feel like im bein ignored",0
151,hope he is ok!,1
152,funny you should say...am filling it out as we speak ;) cheers!,1
153,dont depress me  I have the mother-in-law staying the weekend. Someone else to wait on other than the kids!,0
154,so...i really want to be home right now.,1
155,is fairly upset at the fact the twitter/bgt session will have to commence without Sam..,0
156,HAPPY MOTHERS DAY.!,1
157,"*laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",1
158,Lovin` your performance on snl tonight... so **** funny!!!,1
159,"No nothing wrong with thinking he`s hot, but he belongs to me",1
160,I am tres depressed,0
161,"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",0
162,Happy Mothers Day people. i love my mom a lot still,1
163,I`m sorry to hear that.,0
164,"That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",1
165,"it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",1
166,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,0
167,Somebody accidentely sleep for 3 hours instead of 2 and now I can`t hang out  WORK BLOWS! sorry _jones20 and,0
168,"Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",0
169,Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,1
170,what`s goin on hun?  I`m worried about you,0
171,Im not bannished... but I am at work till 6,0
172,tonight in party w/ my girls (minus vita),1
173,i am jealous of your mom talking to . i want to see you all our twittering is making me miss you,0
174,"No, i dont think its bad. And its very well edited, too.",1
175,Dinner with the fam... I have missed them,0
176,"I know   It was worth a shot, though!",1
177,"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",1
178,Ship. I`m stuck.,0
179,DUSTBIN BABY ON AT 11.30 Cannot wait  x,1
180,"Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",0
181,Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,0
182,today is a busy day. exhausting!,0
183,is not running in the Annapolis half marathon this weekend because i failed to meet the registeration deadline & its completely filled,0
184,ohh my tooth is hurts ohh  im sad it very hurts,0
185,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",1
186,"hey  please reply me, i can`t call you im from Mexico and i don`t know the code  love you",1
187,will miss jay leno ..,0
188,hehe i found ya,1
189,WHO IS SAYING ALL THIS...are you ignoring me *frowns*,0
190,"doing pretty well, up and wide awake",1
191,Just found out my parents are putting down my dog tomorrow morning. Upset,0
192,"My dog is officially depressed that my brother`s dogs are gone. He doesn`t want to go outside and when we did, he play half-heartedly.",0
193,"My frist post... Off to find a new car for my parents, exciting!",1
194,Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,0
195,Watchin Grease 2 and waiting for 9 to hurry up and come so I can talk to my girl. Ugh..... it seems so far away...,0
196,worried about Mr. Socks tonight.,0
197,Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,0
198,they closed the voting...all u can vote for now is best movie  Hope you win it! My 4 y/o Daughter lovesss 2 sing 'The Climb',1
199,Gonna celebrate Mothers Day with the family but gonna start the partying tonite,1
200,i agree with you!,1
201,Travel blog up and running!  http://charlenedianetravels.blogspot.com Can`t wait to start filling it up with entries! ),1
202,watching americas next top model yah haha,1
203,"the movie Tym... So sad, I was crying non-stop.",0
204,Sorry RB is on PS3 for me,0
205,I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,0
206,dang last url went down  ? http://blip.fm/~7aigm,0
207,"ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",0
208,Haha! Thanks! It`s the inane grin from grading. Some students have been really fascinating this semester,1
209,Good for you Rachel.  I have nowt,1
210,"So I guess if the couple sees its ceremony as valid, it is valid, the community be damned  .",0
211,Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,1
212,aww  you loooove me,1
213,Pretty sure you are hero status... You rock my socks Ms McCain.,1
214,"haha im jewish, i love that one",1
215,l`m on 3 days too matt. No fun this weekend.,0
216,I feel your pain. Mine is the same way,0
217,Sadly no. It didn`t come with one...,0
218,Cant wait to see my boy tomorrow,1
219,aww I miss driving down elmwood,0
220,Omg Wango Tango was **** AWSOME! I love my baby for taking me,1
221,"Version 2 of our live, interactive Trans-Siberian ticket planner is launched: http://tinyurl.com/c5ljwm - its very cool",1
222,_30439 I really wish I could go!,1
223,I`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,0
224,This has made my night!!  Way too funny!!,1
225,has not finished the bio mols mind map  stupid sheet hid sections from me on the back!,0
226,feels guility . sorry `bout that  http://plurk.com/p/wyqow,0
227,sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,0
228,"My sunburn is peeling,",0
229,Thank you! You know I really love `BHB`,1
230,I hate the dentist,0
231,"that is awesome!  spent the day studyin, chillin a lil b4 goin to bed, its slowly gettin colder in Paraguay, winter is comin",1
232,I`ve been readin your last few twitts. I hope your ok,1
233,I wish I could get my nails done  stupid job,0
234,Have a good one,1
235,"yep infact she is popular, miss india 99, talented film actress .... and lot more",1
236,Dosen`t Want To Go To Work Tomorrow,0
237,Daniel has won DSDS. His voice is great.,1
238,_x_ATL u mean jack barakat`s?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,1
239,I sure do hope it becomes 4:20 this afternoon ...,1
240,it means that you are now FAMOUS. Congrats!,1
241,My phone passed away yesterday.. He jumped off the table  Searching for a new phone...,0
242,Omg i`m so sad. I jus took in that gossip girl is done,0
243,tamlyn wishes she was as cool as my sock draw,1
244,no class the next two days...but work  everyday from today til next wednesday  so sad,0
245,a mouth for sure,1
246,pancakes!! with lemon and sugar thanks!,1
247,"Si, no bueno  I guess I just don`t entertain him :/",0
248,I`m so hunrgy right now and these heels kill me I can hardly walk in them,0
249,both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,0
250,"Yay, three followers! Good to know more than one person in this big wide world likes fishies.",1
251,'my name is Tony!!!!!! ...not hey!!!!' -  poor tony,0
252,"Just about to eat, home made indian food is boak  x",0
253,Took a shift tomorrow.    I don`t really feel like working right now.,0
254,"I love mine, too . happy motherÃ¯Â¿Â½s day to your mom , John Taylor  . much love to you, too .",1
255,http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,1
256,No waterfront anymore   faccia luna and clarendon will have to do,0
257,Ken Wilber - Realistic Expectation of Integral Wisdom: http://tinyurl.com/clfzdx ...very interesting.  I don`t mind the video quality.,1
258,oh i hate the rain... and septa... and leaving my dog,0
259,"happy mothers day.  oh and no i havent read it yet, will do now",1
260,Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,0
261,Morning tweeple,1
262,Now you only have 2 hours to sleep...  - Rest if you need it.,1
263,I don`t want to sit at home on prom night. Someone hang out with me,0
264,Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,1
265,lol dammit  well then next time then,0
266,"if our office bldg. sells we will move to another smaller one that we own, but will lose the gym",0
267,aw  were sad you had to leave tokyo. come back.please,0
268,http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there,0
269,NOW IM SAD BUT IM NOT GIVING IN FIRST..I DIDNT DO NOTHING!!!!    :**-(,0
270,"last time I looked, they were about 400. They gave us a demo, so cool",1
271,Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,1
272,"I`ve heard of disgruntled investors, but calling you a 'hoe'? That seems totally out of line",0
273,"im in pain, ****",0
274,Our Quinn puppy got a sick.,0
275,i got peanut butter in my beard  it felt weird after... and axe body wash burnt my eyes... but now they`re okay.,0
276,Off to Woolsery this morning to (hopefully) see North Molton U16 clinch the North Devon League title. Lovely day for it,1
277,I cant WAIT to be home and snuggle with my puppies! and my Fiance,1
278,"you`re missing out, bb! i`m such a cereal nut, i think i like every kind available.",1
279,"That`s just weird... :\  Oh, and what was it you were drawing for me?",0
280,Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter,1
281,yay!! we`ll all move!! sorry dh is being Grr...  ****,0
282,"250 miles down, only 1750 to go. Thats ok, u2 on the radio alwas helps.",1
283,why do you say that i`m a ****? i find that hurtful!,0
284,FIL 461 with cool people like me,1
285,Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,1
286,my son got stung by a bug for the first time  his little finger is slightly swollen.,0
287,Bumping dj opus in the drunk in the car.  lmao. Don`t act like u don`t know.,0
288,Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever,1
289,Here`s a brief preview: http://bit.ly/eHCfP   OMG James is creepy in that role! I`m scared of him,0
290,I`m missing crab legs and attending my going away instead!,0
291,Hicks are mean!,0
292,a female robin just flew into my window and I watched her die in my bushes...  i think i am going to cry now...,0
293,"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan",0
294,anything  bookmark - keychain - surprise me,1
295,No it`s not sad. Should make you proud,0
296,"Sorry, we`ll try to keep it down.",0
297,"According to , a quarter of families under six live in poverty.",0
298,the plan to not spend money is not going well,0
299,"Problem is, Flash isnt GPU accelerated.  The Atom 330 can`t play Youtube HD or Hulu HD fullscreen   Big deal with Plex...",0
300,"actually, I wish I was back in Tahoe.  I miss it there.",0
301,but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!,0
302,workin a long day today... hopefully i can make some good tips,1
303,but it all went too quick and there wasn`t a chance lol,0
304,Hates headaches! Maybe I`m not ready to rock,0
305,Thanks for the support,1
306,courtney seems like a cool chick & shes pretty,1
307,Nyappy mother`s day to your mom`s.,1
308,"oh dear, I take back my request.... I get so drunk on fizz!! And I def do regret it the next day, sure fired hangover",0
309,"'organization ...ITIL, forget about people (and so they fail)' preaching to the converted  IT is the people http://tr.im/kWUA",0
