id,texte,sentiment
1,This is an incredible product! I love it!,1
2,Absolute garbage. I want my money back.,0
3,It is okay nothing special but works fine.,0
4,Best product ever! Amazing quality!,1
5,Terrible experience very disappointed.,0
6,Excellent service and fast delivery!,1
7,Horrible quality complete waste of money.,0
8,Love the design beautiful and practical.,1
9,Poor customer support frustrated.,0
10,Outstanding value for money highly recommend.,1
11,C'est un produit extraordinaire je l'adore!,1
12,Horrible déçu par la qualité.,0
13,Pas mal mais pas vraiment impressionné.,0
14,Fantastique service impeccable!,1
15,Terrible expérience à éviter absolument.,0
16,Produit de très bonne qualité satisfait.,1
17,Décevant ne correspond pas à la description.,0
18,Merveilleux exactement ce que je voulais!,1
19,Cassé à la réception défectueux.,0
20,Parfait je recommande sans hésitation.,1
21,Amazing product works perfectly!,1
22,Terrible quality broke after one day.,0
23,Great value excellent purchase!,1
24,Worst thing I ever bought.,0
25,Perfect excellent highly satisfied.,1
26,Ce produit est absolument nul.,0
27,Incroyable je suis ravi de mon achat.,1
28,Mauvaise qualité fragile et cher.,0
29,Superbe très satisfait recommande!,1
30,Arnaque produit de mauvaise qualité.,0
